time,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,is_fraud
2219110,PAYMENT,40.13,3313.87,3363.206791431664,2187.65,2223.150295646962,1
2229084,PURCHASE,99.72,5072.69,4984.30147101862,413.22,555.5051262677342,1
2356330,PAYMENT,2.97,2193.44,2260.0346106437823,3384.84,3435.9092313010597,1
1692743,PAYMENT,49.84,3611.32,3562.8493194036078,3647.11,3655.3796052978983,1
110268,PAYMENT,68.62,5305.15,5208.508658889173,2491.68,2598.974464301856,1
732180,PAYMENT,43.22,5083.02,5178.121081975778,585.13,598.9440143434097,1
2234489,PAYMENT,22.29,2634.61,2551.415671194404,6080.17,6093.655039049121,1
1570006,TRANSFER,6.05,3257.68,3397.69621864578,2279.97,2351.646181618778,1
2003274,DEBIT,106.67,4595.11,4569.858346013983,3269.35,3415.7010082851148,1
1136074,CASH_OUT,20.93,2544.57,2494.899877955062,857.88,797.8728644743594,1
2272355,PAYMENT,6.79,3610.0,3635.702402652769,946.43,959.9671417876139,1
1239911,TRANSFER,13.71,4444.47,4360.872289567545,2486.27,2520.94852070972,1
278167,PAYMENT,31.25,1719.46,1717.8616151014292,601.45,640.1374199100113,1
2138242,PAYMENT,3.09,963.22,976.2349753915325,894.34,771.5804796539503,1
329365,CASH_OUT,20.52,3146.16,3168.9637085927507,2157.41,2110.198426390685,1
787201,TRANSFER,12.18,8793.84,8761.461099514143,2783.14,2706.6474804724044,1
1370455,PAYMENT,99.81,543.05,451.19122706944984,188.96,257.06331127049026,1
1766891,PAYMENT,2.12,707.78,729.4737336188965,3471.99,3481.003963849957,1
327069,PURCHASE,61.96,3269.23,3182.8468455466523,515.89,551.7423427512756,1
1825573,PAYMENT,110.0,3304.41,3264.714767600094,7341.43,7420.381020666667,1
791743,PAYMENT,2.22,410.2,414.48692639796286,1726.86,1642.0265092456082,1
103355,TRANSFER,2.56,2201.0,2215.6586986056213,3130.06,3070.1797098253924,1
1262752,PAYMENT,171.24,1809.23,1596.3511061115325,2609.69,2733.1535024376185,1
2281931,PAYMENT,6.79,6483.89,6394.5329252289,1139.81,1190.6832479607956,1
1396025,PAYMENT,823.69,943.92,52.912959910215164,2349.98,3195.226416122624,1
1470485,CASH_OUT,2.3,1218.46,1245.9757244114185,85.68,127.17754807276296,0
989436,TRANSFER,24.63,6367.12,6302.975460128517,251.44,299.167039018272,1
1307371,TRANSFER,19.53,1984.98,2001.8938854854732,4087.89,4148.535236997412,1
2583384,PURCHASE,15.65,1622.92,1690.0070773059274,2458.71,2406.062226489873,1
917040,CASH_OUT,35.01,4067.0,4070.5388259799233,286.86,388.67990877023624,1
1548762,PAYMENT,37.52,5373.78,5357.5755321696715,7.45,97.37226227190246,1
2253882,PAYMENT,16.43,1398.87,1415.224113773722,4842.6,4840.336458831296,1
1919486,TRANSFER,5.95,2391.48,2440.731180873323,627.71,682.1590314462566,1
654811,CASH_OUT,70.62,1933.56,1878.5259578061368,853.94,985.3512706070408,1
527035,TRANSFER,42.68,611.76,602.264747920994,2078.11,2118.140715489694,1
648143,TRANSFER,23.05,1000.88,949.5592193839675,735.72,785.6307799021218,1
1500942,PAYMENT,41.08,2230.79,2140.8993853015922,373.43,388.5527343954019,1
65725,PAYMENT,50.54,140.76,64.93033858986777,3225.3,3341.8369617913622,1
84654,PAYMENT,8.05,887.66,863.292130534219,5665.18,5650.624411074327,1
